id_lieu;realisateur_ice;fk_oeuvre;fk_localisation;date_de_debut;date_de_fin
2020-1072;Lauriane Escaffre, Yvonnick Muller;435;819;2020-12-24;2020-12-24
2019-822;Thierry Binisti;588;2604;2019-07-23;2019-07-23
2020-174;Pascal Elbé;612;2433;2020-03-05;2020-03-06
2016-2052;NICOLAS BEDOS;585;3830;2016-02-24;2016-02-24
2020-1099;Sylvie Verheyde;739;2717;2020-12-22;2020-12-22
2019-839;NOEMIE SAGLIO;630;851;2019-07-10;2019-07-10
2016-1492;CYPRIEN VIAL;221;3831;2016-07-05;2016-07-05
2016-2053;ADITYA CHOPRA;82;4883;2016-02-26;2016-02-26
2016-1114;DOMINIQUE FARRUGIA;732;1159;2016-07-11;2016-07-11
2019-852;Eva Husson;285;4456;2019-07-26;2019-07-26
2016-1497;DOMINIC SAVAGE;765;4417;2016-10-20;2016-10-20
2016-2055;YISHU YANG;623;4384;2016-03-12;2016-03-12
2016-1138;AUDREY DANA;718;5257;2016-03-10;2016-03-10
2019-1185;NICOLAS CAPU ET MONA ACHACHE;70;1250;2019-09-23;2019-09-24
2016-1518;TEDDY LUSSI MODESTE;111;2723;2016-08-26;2016-08-26
2020-601;Stevan Lee Mraovitch;195;1834;2020-10-08;2020-10-08
2016-1149;ROBIN CAMPILLO;5;5206;2016-09-14;2016-09-14
2019-1199;Damien Chazelle, Houda Benyamina, Laila Marrakchi, Alan Poul;764;78;2019-09-24;2019-09-24
2016-1531;FREDERIC JARDIN;229;2212;2016-05-05;2016-05-06
2020-613;Edouard Baer;806;4999;2020-10-10;2020-10-10
2016-1152;MAXIME GOVARE;338;4202;2016-10-06;2016-10-06
2019-1219;Michael Schur;767;4328;2019-09-30;2019-09-30
2016-1549;LORRAINE LEVY;344;5453;2016-08-16;2016-08-16
2020-655;Theodore Bonnet;113;1822;2020-10-20;2020-10-20
2016-1169;SIMON ASTIER;667;3830;2016-07-19;2016-07-19
2019-1226;Will Koopman;617;2685;2019-09-27;2019-09-27
2016-1563;JEAN FRANCOIS DAVY;850;1100;2016-05-26;2016-05-26
2020-664;Hugo GÉLIN;54;2709;2020-10-16;2020-10-16
2016-2697;ERICK ZONCA;258;3076;2016-05-04;2016-05-04
2019-663;FRANCK GASTAMBIDE;837;1442;2019-06-18;2019-06-20
2016-1578;JEREMY MINUI;261;154;2016-12-15;2016-12-15
2020-665;Hugo GÉLIN;54;2709;2020-10-16;2020-10-16
