id_lieu;realisateur_ice;fk_oeuvre;fk_localisation;date_de_debut;date_de_fin
2019-168;Jeanne Herry;257;5252;2019-02-15;2019-02-16
2019-169;Jeanne Herry;257;4553;2019-02-15;2019-02-15
2019-523;Laurent TUEL;588;3154;2019-05-24;2019-05-25
2019-528;Sylvie VERHEYDE;544;4498;2019-05-21;2019-05-21
2019-1449;Bruno Dumont;627;4252;2019-11-03;2019-11-03
2019-1450;Lise Akoka et Romane Gueret;795;1475;2019-10-23;2019-10-23
2018-800;Jeanne Balibar;569;5243;2018-07-10;2018-07-10
2018-817;Eric Meng;721;4080;2018-07-11;2018-07-11
2018-1516;Katia LEWKOWICZ;260;2389;2018-12-05;2018-12-06
2018-1519;Katia LEWKOWICZ;260;2576;2018-12-06;2018-12-08
2018-1544;Julien Rambaldi;107;59;2018-12-11;2018-12-11
2018-1551;Frederic Farrucci;410;3884;2018-12-12;2018-12-13
2019-478;Hervé HADMAR;698;2744;2019-04-30;2019-05-01
2019-480;ERIC JUDOR;650;208;2019-05-13;2019-05-13
2019-1477;Antoine GARCEAU - Marc FITOUSSI;204;4745;2019-11-07;2019-11-07
2018-858;Simon Bouisson;416;4966;2018-07-26;2018-07-26
2018-862;Simon Bouisson;416;1090;2018-07-27;2018-07-28
2018-1257;NICOLAS BEDOS;379;5471;2018-10-16;2018-10-17
2018-1273;CEDRIC KLAPISCH;198;4387;2018-10-26;2018-10-26
2019-235;Claus DREXLER;820;4228;2019-03-12;2019-03-12
2019-256;Philippe Garrel;460;3567;2019-03-09;2019-03-09
2019-537;Damien Chazelle;764;316;2019-05-24;2019-05-24
2019-1537;Christopher Thompson;756;2761;2019-11-18;2019-11-19
2018-917;Maïmouna Doucouré;505;2941;2018-08-06;2018-08-06
2019-187;Min-Ho Woo;499;585;2019-02-22;2019-02-22
2019-197;Tristan SEGUELA;206;556;2019-02-26;2019-02-27
2019-201;Danielle Arbid;637;1988;2019-02-26;2019-02-26
2019-217;Christophe Honoré;589;3691;2019-03-18;2019-03-18
2019-549;Damien Chazelle;764;219;2019-05-28;2019-05-29
2019-564;BERNARD STORA;847;3010;2019-06-04;2019-06-05
2019-566;Damien Chazelle;764;2862;2019-05-30;2019-05-30
2019-567;Damien Chazelle;764;4601;2019-05-31;2019-06-01
2019-587;LEO ZHANG;768;3439;2019-06-05;2019-06-05
2019-1552;Antoine GARCEAU - Marc FITOUSSI;204;4680;2019-11-19;2019-11-20
2019-1554;Jim Bagdonas;579;1880;2019-11-15;2019-11-15
2019-1567;julien ZIDI;39;3229;2019-11-16;2019-11-17
2019-1573;Frankie WALLACH;793;4153;2019-11-20;2019-11-20
2017-79;Emmanuel Gillibert;486;4953;2017-03-16;2017-03-16
2017-82;Emmanuel Gillibert;486;2654;2017-03-16;2017-03-16
2017-92;Cécilia Rouaud;91;4561;2017-03-22;2017-03-22
2017-95;Alexandra LECLERE;271;3154;2017-03-16;2017-03-16
2017-190;GERALDINE DE MARGERIE;530;135;2017-03-23;2017-03-24
2017-197;ALEXANDRA LECLERE;271;1393;2017-04-03;2017-04-03
2017-205;Alain Chabat;802;1428;2017-03-23;2017-03-24
2017-206;ZABOU BREITMAN;134;330;2017-03-22;2017-03-22
2017-232;Sergi Portabella;325;1060;2017-04-10;2017-04-10
2017-255;ALEXANDRA LECLERE;271;4170;2017-04-10;2017-04-10
2017-256;;802;1428;2017-03-29;2017-03-30
2017-127;ZABOU BREITMAN;131;3156;2017-03-14;2017-03-14
2017-5;ZABOU BREITMAN;131;2792;2017-02-13;2017-02-13
2017-21;Alain Chabat;802;4101;2017-02-28;2017-03-01
2017-39;Stéphane et David FOENKINOS;317;1826;2017-02-27;2017-02-27
2017-58;Franck Ribiere;390;1819;2017-03-09;2017-03-10
2017-308;Pape Amadou SY;682;1423;2017-04-19;2017-04-19
2017-317;ELEONORE POURRIAT;318;1092;2017-04-21;2017-04-21
2017-320;Thomas Lilti;660;4856;2017-05-11;2017-05-12
2017-335;Mikhael Hers;44;2528;2017-08-28;2017-08-28
2017-342;PHILIPPE HAREL;799;137;2017-09-05;2017-09-05
2017-344;MATTHEW WEINER;773;3055;2017-08-10;2017-08-11
2017-350;VIRGINIE SAUVEUR;463;4663;2017-08-31;2017-08-31
2017-351;VIRGINIE SAUVEUR;463;1039;2017-08-26;2017-08-26
2017-283;Richard Jobson;238;4011;2017-04-13;2017-04-13
2017-290;;802;4068;2017-04-13;2017-04-14
2017-154;Rachid Bouchareb;85;2960;2017-04-07;2017-04-07
2017-174;Zhang bo li et Wang chen Xi;719;1059;2017-03-20;2017-03-20
2017-515;MARIE-CASTILLE MENTION-SCHAAR;391;321;2017-09-19;2017-09-20
2017-530;Mathieu Sapin;454;4430;2017-09-19;2017-09-19
2017-533;Mabrouk el Mechri;607;2487;2017-09-18;2017-09-18
2017-537;Virginie Sauveur;463;48;2017-09-08;2017-09-08
2017-547;Antoine Chevrollier - Ziad Doueiri;80;530;2017-09-29;2017-09-29
2017-567;Mikhael Hers;44;2061;2017-09-23;2017-09-23
2017-434;Jonathan;742;5105;2017-08-27;2017-08-27
2017-658;Thierry Petit;334;3364;2017-10-11;2017-10-11
2017-673;Patrick Cassir;661;2222;2017-10-11;2017-10-12
2017-674;Patrick Cassir;661;2222;2017-10-11;2017-10-12
2017-399;Jeffrey Chiang;779;3824;2017-08-25;2017-08-26
2017-401;Jeffrey Chiang;779;201;2017-08-24;2017-08-25
2017-403;Jeffrey Chiang;779;1793;2017-08-23;2017-08-24
2017-410;Gabor Reisz;68;1499;2017-08-23;2017-08-23
2017-416;Gabor Reisz;68;66;2017-08-25;2017-08-25
2017-417;Kheiron;563;4166;2017-09-01;2017-09-01
2017-433;Jonathan;742;4452;2017-08-27;2017-08-27
2017-825;David Hourrègue;726;4059;2017-10-24;2017-10-24
2017-762;Zhou gao wu;214;4166;2017-10-31;2017-10-31
2017-780;Ken Biller;275;1593;2017-10-27;2017-10-27
2017-982;MARION LAINE;429;136;2017-11-29;2017-11-30
2017-1001;M. CHOY CHING SHING CLEMENT;598;3728;2017-11-23;2017-11-25
2017-1006;Nadav Lapid;746;2607;2017-12-05;2017-12-05
2017-1017;DAVID OELHOFFEN;757;1949;2017-12-07;2017-12-07
2017-1018;DAVID OELHOFFEN;757;91;2017-12-06;2017-12-06
2017-732;Stephen Woolfenden;852;4836;2017-10-12;2017-10-12
2017-1193;ZABOU BREITMAN;131;4039;2017-05-19;2017-05-19
2017-1097;Eva Ionesco;830;4259;2017-12-15;2017-12-16
2017-1106;MARION LAINE;429;645;2017-12-19;2017-12-19
2017-1562;;384;1572;2017-07-20;2017-07-20
2017-935;Nadav Lapid;746;4328;2017-11-20;2017-11-20
2017-1237;Peter Cattaneo;200;215;2017-06-12;2017-06-13
2017-1028;;598;3735;2017-11-22;2017-11-22
2017-1030;;598;4144;2017-11-27;2017-11-27
2017-1037;;598;4039;2017-11-25;2017-11-25
2017-1047;;55;2583;2017-12-21;2017-12-21
2017-1380;Léa Frédeval;470;4758;2017-06-30;2017-06-30
2017-1396;sophie marceau;587;5362;2017-06-16;2017-06-16
2017-1406;Dan Sackheim;655;3672;2017-06-29;2017-06-29
2017-1606;Mikhael Hers;44;4307;2017-08-11;2017-08-11
2017-1610;Mikhael Hers;44;4337;2017-08-08;2017-08-08
2017-1492;cheyenne carron;19;1373;2017-08-25;2017-08-25
2017-1493;cheyenne carron;19;2478;2017-08-24;2017-08-25
2017-1507;cheyenne carron;19;4324;2017-08-11;2017-08-11
2017-1523;Pawel PAWLIKOWSKI;157;1915;2017-07-20;2017-07-21
2017-1541;ARCHIE BORDERS;822;4933;2017-07-18;2017-07-18
2017-1441;STEPHAN KOPECKY;39;3976;2017-01-25;2017-01-25
2017-1458;Christophe Honoré;647;882;2017-07-17;2017-07-17
2017-1313;Rizal Mantovani;219;4396;2017-06-09;2017-06-10
2017-1332;Maxime Taris;615;4839;2017-06-13;2017-06-13
2017-1344;Ken Scott;370;5201;2017-07-20;2017-07-21
2017-1689;LUDOVIC COLBEAU-JUSTIN;339;4927;2017-01-16;2017-01-16
2017-1714;Sophie Fillières;380;1188;2017-02-07;2017-02-07
2017-1740;Romuald Boulanger;523;419;2017-02-23;2017-02-23
2017-1743;ISABELLE DOVAL;676;489;2017-02-09;2017-02-09
2017-1469;PIERRE DUDAN;130;2310;2017-07-11;2017-07-11
2018-75;Steven Conrad;533;4623;2018-01-28;2018-01-28
2018-76;Sarah Marx;367;1352;2018-01-25;2018-01-27
2018-78;Sarah Marx;367;1194;2018-01-25;2018-01-27
2018-97;BYUN HYUK;287;4329;2018-02-01;2018-02-01
2018-106;Olivier Doran;504;1699;2018-02-05;2018-02-05
2018-111;Michel Leclerc;403;3706;2018-02-14;2018-02-14
2017-1567;;811;4257;2017-07-17;2017-07-17
2018-25;jean christophe delpias;39;5064;2018-01-08;2018-01-08
2018-36;jean christophe delpias;39;3582;2018-01-10;2018-01-11
2018-46;HUGO GÉLIN;583;353;2018-01-17;2018-01-18
2018-375;Noémie Saglio - Renaud Bertrand;116;147;2018-03-28;2018-03-28
2018-380;Romuald Boulanger;523;910;2018-04-26;2018-04-26
2017-1644;Julien DESPAUX ET SEBASIEN CIRADE;667;5337;2017-07-31;2017-07-31
2018-253;Marie Jardillier, Mathieu Oullion;98;274;2018-03-03;2018-03-03
2018-278;audrey Diwan;548;3423;2018-03-12;2018-03-16
2018-279;;94;1277;2018-03-09;2018-03-09
2018-282;Amy Sherman-Palladino et Dan Palladino;769;4193;2018-03-16;2018-03-18
2018-313;Frederic Jardin;229;2211;2018-03-08;2018-03-09
2018-316;;204;1072;2018-03-30;2018-03-30
2018-19;Frédéric JARDIN;229;727;2018-01-22;2018-01-25
2018-156;Audrey DIWAN;548;2229;2018-02-22;2018-02-22
2018-162;Monsieur Mohamed Hamidi;864;4144;2018-02-23;2018-02-23
2018-171;David Weill;49;242;2018-02-26;2018-02-26
2018-389;Peter Atencio;858;382;2018-03-31;2018-03-31
2018-392;LISA AZUELOS;580;3863;2018-04-09;2018-04-11
2018-423;Anthony Marciano;651;98;2018-03-28;2018-03-29
2018-342;Julien Weill;49;1836;2018-03-21;2018-03-22
2018-349;LISA AZUELOS;580;295;2018-03-28;2018-03-29
2018-369;Cathy Verney;842;5180;2018-03-30;2018-03-30
2018-222;;204;320;2018-03-12;2018-03-14
2018-477;Gabriel Aghion;796;552;2018-04-06;2018-04-06
2018-478;Cathy Verney;842;3559;2018-04-12;2018-04-18
2018-496;Anthony Marciano;651;3308;2018-04-12;2018-04-12
2018-507;FLO BER;216;5108;2018-04-23;2018-04-23
2018-328;Cathy Verney;842;4258;2018-03-20;2018-03-20
2018-528;;204;4680;2018-04-16;2018-04-17
2018-538;LISA AZUELOS;580;4426;2018-04-11;2018-04-13
2018-545;Cathy Verney;842;48;2018-04-26;2018-04-27
2018-649;Renaud Bertrand - Noémie Saglio;116;4138;2018-05-17;2018-05-17
2018-656;Hector CABELL REYES;443;2493;2018-05-21;2018-05-21
2018-679;Julia Rezende;186;4123;2018-05-29;2018-05-29
2018-682;Tuva Novotny;103;1501;2018-06-07;2018-06-07
2018-693;Cathy Verney;842;5123;2018-05-30;2018-05-31
2018-464;VINCENT GIOVANNI;39;1357;2018-04-12;2018-04-12
2018-468;ANTHONY MARCIANO;651;2265;2018-04-09;2018-04-09
2019-1734;Frankie WALLACH;793;4367;2019-12-11;2019-12-11
2019-1755;ALEXANDRE LAURENT;667;4367;2019-12-14;2019-12-15
2018-588;VINCENT JAMAIN;72;2997;2018-05-11;2018-05-11
2018-602;Vipul Shah;595;3491;2018-05-15;2018-05-15
2018-614;Elsa Bennett et Hippolyte Dard;358;4339;2018-05-21;2018-05-21
2018-941;Pierre-François MARTIN-LAVAL;239;2366;2018-08-03;2018-08-03
2018-946;Walter VELTRONI;106;4780;2018-08-10;2018-08-10
2018-953;Elia Suleiman;311;4370;2018-08-16;2018-08-16
2018-958;Stéphane Batut;411;1189;2018-08-21;2018-08-21
2018-978;JULIEN HOSMALIN / LIONEL MOUGIN;672;1279;2018-08-20;2018-08-21
2018-1009;Josée DAYAN;678;843;2018-08-31;2018-08-31
2019-399;Claus DREXEL;820;398;2019-04-05;2019-04-05
2019-407;Noemie Saglio - Renaud Bertrand;649;5057;2019-04-12;2019-04-12
2019-749;LEO ZHANG;768;3910;2019-06-29;2019-06-29
2019-764;Jérémy Minui;69;4390;2019-07-12;2019-07-12
2018-1232;DAVID HOURREGUE;726;1742;2018-10-16;2018-10-17
2019-896;GABRIEL LE BOMIN;522;681;2019-07-24;2019-07-25
2019-1229;David LANZMANN;192;3119;2019-10-10;2019-10-11
2019-785;John WAX, Jean-Pascal ZADI;788;992;2019-07-05;2019-07-05
2019-809;David Hugonot Petit;549;4234;2019-07-09;2019-07-09
2019-1156;Thierry De Peretti;473;108;2019-09-17;2019-09-18
2018-1156;Pascal Lahmani;117;4436;2018-10-16;2018-10-17
2018-1179;Stanley WOODWARD;851;4769;2018-10-19;2018-10-19
2019-840;NOEMIE SAGLIO;630;851;2019-07-10;2019-07-12
2019-1189;Marion Desseigne Ravel;502;4994;2019-09-24;2019-09-25
2019-1208;VLADIMIR DE FONTENAY/MARIE MONGE;838;1769;2019-09-28;2019-09-28
2019-1209;David LANZMANN;192;3340;2019-10-07;2019-10-08
2019-1225;Will Koopman;617;4087;2019-09-27;2019-09-27
2018-1207;DAVID HOURREGUE;726;3221;2018-10-11;2018-10-11
2019-670;ANTOINE CHEVROLLIER;80;3777;2019-06-27;2019-06-27
2019-1033;Marion Desseigne Ravel;502;4555;2019-08-31;2019-09-01
2019-1235;ELSA BENNETT / HIPPOLYTE DARD / FREDERIC BERTHE;59;5136;2019-10-03;2019-10-04
2019-1256;Andre Erkau;279;4937;2019-10-02;2019-10-02
2019-14;Samuel BODIN;556;990;2019-01-08;2019-01-08
2019-932;Matt BLOOM, Robert BURKE, Ronan BURKE;253;4112;2019-08-15;2019-08-15
2019-938;Adeline PICAULT;747;2866;2019-08-05;2019-08-06
2019-950;Franck GASTAMBIDE;837;3716;2019-08-07;2019-08-07
2019-986;Jérôme Bonnell;628;4838;2019-08-28;2019-08-29
2019-30;IGOR GOTESMAN;242;2614;2019-01-10;2019-01-10
2019-1451;Lise Akoka et Romane Gueret;795;3435;2019-10-24;2019-10-24
2019-34;Jeanne Herry;257;1231;2019-01-07;2019-01-07
2018-802;Jeanne Balibar;569;4166;2018-07-10;2018-07-10
2019-36;Arnaud Sélignac;194;1488;2019-01-04;2019-01-04
2018-805;LUCIE BORLETEAU;125;1602;2018-07-10;2018-07-10
2019-66;Arnaud Sélignac;194;2004;2019-01-15;2019-01-15
2018-814;Eric Meng;721;1504;2018-07-11;2018-07-11
2019-1082;Jérôme Bonnell;628;611;2019-09-04;2019-09-04
2018-828;Gabriel Julien Laferrière;109;4781;2018-07-23;2018-07-23
2019-1336;Bruno Podalydès;487;3685;2019-10-11;2019-10-11
2018-1523;Katia LEWKOWICZ;260;267;2018-11-28;2018-11-28
2016-2293;MYRIAM AZIZA;725;4144;2016-10-13;2016-10-13
2018-1548;Frederic Farrucci;410;2842;2018-12-12;2018-12-12
2016-2318;ADITYA CHOPRA;82;1135;2016-05-13;2016-05-14
2018-1553;Katia LEWKOWICZ;260;3446;2018-12-07;2018-12-07
2016-2326;DOMINIC SAVAGE;765;4668;2016-10-20;2016-10-20
2019-466;Jean-Philippe Amar;229;452;2019-05-22;2019-05-24
2016-2356;NADIR MOKNECHE;526;3361;2016-04-01;2016-04-02
2019-1471;François VELLE;184;4223;2019-10-31;2019-10-31
2016-2360;DOMINIQUE FARRUGIA;732;5462;2016-06-22;2016-06-23
2019-1475;Antoine GARCEAU - Marc FITOUSSI;204;106;2019-11-07;2019-11-07
2016-2365;PHILIPPE PROTEAU;332;4028;2016-07-11;2016-07-11
2019-1484;Bruno Dumont;627;4681;2019-11-12;2019-11-12
2020-847;Lea Fazer;703;5319;2020-11-24;2020-11-24
2018-841;Simon Bouisson;416;4774;2018-07-27;2018-07-27
2020-849;Shirley Monsarrat;727;3226;2020-11-13;2020-11-13
2018-854;Nicolas Herdt;824;1623;2018-07-27;2018-07-27
2020-874;ROBIN SYKES;23;908;2020-11-23;2020-11-23
2018-933;Stéphane Batut;411;3231;2018-08-20;2018-08-20
2020-880;Aurélie Saada;699;4150;2020-11-09;2020-11-09
2018-1262;Hortense Motrot Pinchon;673;1273;2018-10-11;2018-10-11
2016-814;MAXIME GOVARE;338;4085;2016-09-14;2016-09-14
2018-1279;Stéphane Malhuret;153;3483;2018-11-05;2018-11-05
2016-821;YUKI SAITO;347;4648;2016-03-04;2016-03-04
2019-238;ANNE FONTAINE;654;640;2019-03-08;2019-03-09
2016-835;DAN ZEFF;763;3933;2016-05-23;2016-05-23
2019-259;VINCENT JAMAIN;74;4699;2019-03-15;2019-03-15
2016-836;JEANNE HERRY;2;2513;2016-09-29;2016-09-29
2019-1502;Darren Star;222;1909;2019-11-05;2019-11-05
2016-843;FREDERIC MERMOUD;229;4020;2016-11-02;2016-11-02
2019-1503;Darren Star;222;4573;2019-11-05;2019-11-05
2016-876;DOMINIQUE ROCHER;409;1662;2016-10-28;2016-10-28
2019-1533;;726;3938;2019-11-13;2019-11-13
2016-2393;FABRICE EBOUE;156;2562;2016-11-24;2016-11-24
2018-908;Nicolas Herdt;824;4319;2018-08-09;2018-08-09
2016-2398;NICOLAS GUICHETEAU;588;4317;2016-12-22;2016-12-22
2018-926;;774;5179;2018-08-05;2018-08-05
2016-2468;FABRICE GOBERT;345;5036;2016-09-09;2016-09-10
2018-930;Marilou Berry;677;2670;2018-08-13;2018-08-14
2016-2473;OLIVIER MARCHAL;119;3296;2016-11-08;2016-11-09
2019-582;BERNARD STORA;847;2872;2019-06-06;2019-06-07
2020-924;Edouard Baer;806;1055;2020-11-27;2020-11-28
2019-1548;Trivikram Srinivas;33;3674;2019-11-09;2019-11-10
2020-927;FRED GARSON;831;823;2020-11-27;2020-11-28
2019-1553;Jim Bagdonas;579;1496;2019-11-15;2019-11-15
2020-940;Valérie Urrea et Nathalie Masduraud;283;5016;2020-11-29;2020-11-29
2019-1559;Jim Bagdonas;578;146;2019-11-16;2019-11-16
2016-906;FREDERIC JARDIN;229;1801;2016-07-21;2016-07-21
2019-1566;julien ZIDI;39;4684;2019-11-16;2019-11-16
2016-924;JULIEN HALLARD;493;3219;2016-07-27;2016-07-29
2019-1570;julien ZIDI;39;3855;2019-11-18;2019-11-21
2016-936;FREDERIC MERMOUD;229;3731;2016-10-03;2016-10-03
2019-1578;;726;962;2019-11-21;2019-11-22
2016-980;LIU CHUN-CHIEN;521;4350;2016-12-14;2016-12-14
2017-355;Saphia Azzeddine et François-Régis Jeanne;228;3027;2017-08-22;2017-08-22
2016-987;AUDREY DANA;718;704;2016-02-23;2016-02-23
2017-365;Clément Pillet et Julien Arnardi;573;4261;2017-09-11;2017-09-11
2016-994;VALERIE LEMERCIER;557;1813;2016-04-20;2016-04-20
2017-367;Clint Eastwood;760;3128;2017-08-24;2017-08-24
2016-2493;TAREK BOUDALI;555;4730;2016-09-16;2016-09-16
2017-90;ELEONORE POURRIAT;318;2751;2017-03-08;2017-03-08
2016-2505;ERIC LE ROUX;41;2573;2016-04-04;2016-04-04
2016-2582;MARTIN PROVOST;418;3735;2016-04-11;2016-04-11
2016-2542;CHANG KEUN CHUN;770;3729;2016-10-19;2016-10-19
2016-2592;ELODIE FAURE BOULUE;503;4677;2016-06-27;2016-06-27
2016-2552;LEONOR SERRAILLE;328;4818;2016-02-11;2016-02-11
2016-2597;JEANNE HERRY;2;5321;2016-10-10;2016-10-10
2016-2555;ETIENNE COMAR;205;1848;2016-04-22;2016-04-22
2016-2609;FABRICE GOBERT;345;4497;2016-09-09;2016-09-10
2016-2560;EMMANUEL FINKIEL;388;5301;2016-10-25;2016-10-25
2016-2610;TAREK BOUDALI;555;5447;2016-09-15;2016-09-15
2016-2580;FREDERIC FORESTIER;584;2499;2016-03-15;2016-03-15
2016-2617;HALL HARTLEY;685;519;2016-08-05;2016-08-05
2020-1001;Christophe CAMPOS;648;3306;2020-12-03;2020-12-03
2017-110;Michel Blanc;855;2694;2017-09-06;2017-09-06
2020-1011;Christophe CAMPOS;648;3796;2020-12-03;2020-12-04
2017-123;;802;4378;2017-03-17;2017-03-18
2020-1028;Christophe CAMPOS;648;3408;2020-12-03;2020-12-04
2017-125;ZABOU BREITMAN;131;2040;2017-03-14;2017-03-14
2020-1035;Sébastien Laugier;22;1519;2020-11-28;2020-11-30
2017-184;Jean-philippe Gaud;752;4461;2017-04-07;2017-04-07
2020-1048;ROBIN SYKES;23;2632;2020-12-15;2020-12-15
2017-203;ZHANG BO LI;719;1389;2017-03-24;2017-03-25
2020-1051;ROBIN SYKES;23;213;2020-12-14;2020-12-14
2017-207;ELEONORE POURRIAT;318;3443;2017-03-30;2017-03-30
2016-2638;FRANCHIN DOM;538;5128;2016-06-14;2016-06-14
2017-208;ZABOU BREITMAN;135;3334;2017-03-24;2017-03-24
2016-2643;GABRIEL AGHION;427;5110;2016-06-20;2016-06-20
2017-229;;802;5429;2017-03-31;2017-03-31
2016-2650;LAURENT PERREAU;381;4028;2016-05-10;2016-05-10
2017-253;Christopher Mac-Quarrie;274;4044;2017-04-04;2017-04-04
2016-2658;VINCENT PRIMAULT;304;4504;2016-04-07;2016-04-07
2017-130;ZABOU BREITMAN;131;2055;2017-03-10;2017-03-10
2016-1038;ANNE FONTAINE;559;3869;2016-08-26;2016-08-26
2017-1;ZABOU BREITMAN;146;5357;2017-02-17;2017-02-17
2016-1065;LUCIEN JEAN BAPTISTE;300;3806;2016-02-08;2016-02-08
2017-15;Philippe MECHELEN / Julien HERVE;440;1946;2017-02-20;2017-02-21
2020-1103;Sylvie Verheyde;739;4723;2020-12-22;2020-12-22
2017-41;;274;3897;2017-02-22;2017-02-22
2020-1108;Sylvie Verheyde;739;5116;2020-12-22;2020-12-22
2017-334;Mikhael Hers;44;3980;2017-08-28;2017-08-29
2016-1098;TAREK BOUDALI;555;3232;2016-09-02;2016-09-02
2017-277;ELEONORE POURRIAT;318;845;2017-04-07;2017-04-07
2016-1121;ARNAULD MERCADIER;169;4326;2016-03-31;2016-03-31
2017-280;Will Koopman;174;2901;2017-04-13;2017-04-13
2016-1134;GUILLAUME CANET;273;3814;2016-02-24;2016-02-24
2017-144;Rachid Bouchareb;85;2778;2017-03-30;2017-03-30
2016-1135;JALIL LESPERT;308;2986;2016-03-04;2016-03-04
2017-175;Zhang bo li et Wang chen Xi;719;2808;2017-03-24;2017-03-24
2016-1148;ARNAUD DESPLESCHIN;491;4055;2016-09-05;2016-09-05
2017-517;MARIE-CASTILLE MENTION-SCHAAR;391;3441;2017-09-27;2017-09-27
2016-1182;DOMINIQUE FARRUGIA;732;3740;2016-08-08;2016-08-08
2017-539;Alexandre DA SILVA;297;2790;2017-09-19;2017-09-19
2016-1183;MAURICE BARTHELEMY;489;4024;2016-09-22;2016-09-22
2017-554;michel Blanc;855;322;2017-09-25;2017-09-25
2016-2679;MYRIAM AZIZA;725;2052;2016-10-24;2016-10-28
2017-563;Hugo Blick;87;1598;2017-09-23;2017-09-23
2016-2690;MANUEL BOURSINHAC;602;4607;2016-01-09;2016-01-09
2017-442;Jeffrey Chiang;779;3823;2017-08-26;2017-08-26
2016-2720;LUDOVIC BERNARD;359;4126;2016-02-26;2016-02-26
2017-454;Stephen Woolfenden;852;4391;2017-09-05;2017-09-05
2016-2724;NOVEMIE LVOVSKY;189;3450;2016-03-23;2016-03-24
2017-461;MATT BLOOM et RANDALL THORN;255;3786;2017-09-14;2017-09-15
2016-2732;MATHIEU AMALRIC;78;2241;2016-12-02;2016-12-02
2017-635;Mabrouk el Mechri;607;950;2017-10-06;2017-10-06
2016-2743;JALIL LESPERT;308;4851;2016-02-26;2016-02-26
2017-650;vincent giovanni;39;4139;2017-10-18;2017-10-18
2016-2761;MAHAMAT-SALEH HAROUN;823;4842;2016-11-15;2016-11-15
2017-415;Gabor Reisz;68;563;2017-08-23;2017-08-23
2016-1197;SHUJAAT SAUDAGAR;696;4438;2016-05-23;2016-05-23
2017-580;Stephen Woolfenden;852;4150;2017-09-25;2017-09-25
2016-1229;NATHAN SILVER;777;12;2016-08-25;2016-08-25
2017-589;MARIE-CASTILLE MENTION-SCHAAR;391;751;2017-10-02;2017-10-03
2016-1231;MYRIAM AZIZA;725;4283;2016-09-26;2016-09-26
2017-827;MARIE-CASTILLE MENTION-SCHAAR;391;658;2017-10-31;2017-10-31
2016-1237;FRED GARSON;498;4191;2016-01-29;2016-01-29
2017-850;Jonathan Desoindre;742;4439;2017-10-27;2017-10-27
2020-7;Elie Wajeman;812;3065;2020-01-08;2020-01-09
2017-862;Nicolas SAADA;758;4062;2017-11-06;2017-11-06
2020-55;Arnaud Selignac,;320;2063;2020-02-05;2020-02-05
2017-863;Nicole Palo;461;1136;2017-11-12;2017-11-13
2016-1299;ADITYA CHOPRA;82;4150;2016-04-22;2016-04-22
2017-877;Steven Conrad;533;4298;2017-11-10;2017-11-10
2016-1303;PHILIPPE GARREL;351;4188;2016-07-06;2016-07-06
2017-764;Zhou gao wu;214;445;2017-10-27;2017-10-27
2016-1308;GUILLAUME GALLIENNE;560;1973;2016-10-14;2016-10-14
2017-783;Ken Biller;275;4458;2017-10-27;2017-10-27
2016-1312;ERIC LE ROUX;41;4459;2016-09-30;2016-09-30
2017-790;Pierre-André Lhomme;55;5218;2017-12-16;2017-12-16
2016-1315;FRED GARSON;498;1394;2016-02-22;2016-02-22
2017-792;Pierre-André Lhomme;55;4804;2017-12-09;2017-12-09
2016-1339;TAREK BOUDALI;555;402;2016-08-10;2016-08-11
2017-942;Julien ABRAHAM;545;3039;2017-11-13;2017-11-14
2016-1348;MELANIE LAURENT;653;5372;2016-05-19;2016-05-19
2017-976;Julien ABRAHAM;545;3050;2017-11-21;2017-11-21
2016-1388;MAHAMAT-SALEH HAROUN;823;3929;2016-11-22;2016-11-22
2017-990;NICOLAS SAADA;759;3579;2017-12-11;2017-12-11
2020-113;FRED CAVAYÉ;32;2829;2020-03-11;2020-03-12
2017-998;M. CHOY CHING SHING CLEMENT;598;1547;2017-11-23;2017-11-23
2020-123;FREDERIC BALEKDJIAN, FABIEN NURY;634;5253;2020-02-21;2020-02-22
2017-702;Stephen Woolfenden;852;4144;2017-10-04;2017-10-04
2016-1391;DAMIEN MARIC;469;4025;2016-02-16;2016-02-16
2017-706;Jonathan;742;3038;2017-10-23;2017-10-23
2016-1392;FRED GARSON;498;4585;2016-03-21;2016-03-21
2017-728;Stephen Woolfenden;852;5056;2017-10-25;2017-10-25
2016-1395;SOPHIE LEVY;1;5442;2016-05-05;2016-05-05
2017-750;Antoine Chevrollier - Ziad Doueiri;80;5033;2017-10-12;2017-10-13
2016-1400;MAHAMAT-SALEH HAROUN;823;4996;2016-11-15;2016-11-15
2017-1192;Dany Boon;384;3758;2017-06-06;2017-06-07
2016-1401;NATHAN SILVER;777;13;2016-08-25;2016-08-25
2017-1197;Franck Dubosc;785;3228;2017-06-06;2017-06-06
2016-1405;MYRIAM AZIZA;725;5091;2016-09-26;2016-09-26
2017-810;Jonathan Desoindre;742;5254;2017-10-27;2017-10-27
2016-1410;CHRISTIAN SCHWOCHOW;640;5445;2016-04-16;2016-04-16
2017-1061;;172;4681;2017-11-30;2017-11-30
2016-1417;E.TOLENADO/O.NAKACHE;444;2712;2016-06-28;2016-06-28
2017-1066;David Hourrègue;726;824;2017-11-29;2017-11-29
2016-1442;SOU ABADI;128;795;2016-05-11;2016-05-11
2017-1068;David Hourrègue;726;2894;2017-12-04;2017-12-04
2016-1468;JALIL LESPERT;308;3458;2016-02-08;2016-02-08
