date_de_debut;date_de_fin;fk_oeuvre;realisateur_ice;id_periode
2016-02-19;2016-02-19;328;leonor serraille;125
2016-02-19;2016-02-19;498;fred garson;126
2016-02-19;2016-02-19;636;lidia terki;127
2016-02-19;2016-02-19;718;audrey dana;128
2016-02-22;2016-02-22;110;l colbeau justin;129
2016-02-22;2016-02-22;328;leonor serraille;130
2016-02-22;2016-02-22;498;fred garson;131
2016-02-22;2016-02-22;636;lidia terki;132
2016-02-22;2016-02-23;175;lisa azuelos;133
2016-02-22;2016-02-23;273;guillaume canet;134
2016-02-22;2016-02-25;308;jalil lespert;135
2016-02-22;2016-02-26;189;novemie lvovsky;136
2016-02-23;2016-02-23;273;guillaume canet;137
2016-02-23;2016-02-23;328;leonor serraille;138
2016-02-23;2016-02-23;408;chad chenouga;139
2016-02-23;2016-02-23;636;lidia terki;140
2016-02-23;2016-02-23;718;audrey dana;141
2016-02-23;2016-02-24;41;julien zidi;142
2016-02-24;2016-02-24;41;julien zidi;143
2016-02-24;2016-02-24;175;lisa azuelos;144
2016-02-24;2016-02-24;273;guillaume canet;145
2016-02-24;2016-02-24;328;leonor serraille;146
2016-02-24;2016-02-24;585;nicolas bedos;147
2016-02-24;2016-02-24;718;audrey dana;148
2016-02-24;2016-02-25;636;lidia terki;149
2016-02-24;2016-02-26;205;etienne comar;150
2016-02-25;2016-02-25;82;aditya chopra;151
2016-02-25;2016-02-25;273;guillaume canet;152
2016-02-25;2016-02-25;308;jalil lespert;153
2016-02-25;2016-02-25;359;ludovic bernard;154
2016-02-26;2016-02-26;82;aditya chopra;155
2016-02-26;2016-02-26;223;alfred lot;156
2016-02-26;2016-02-26;273;guillaume canet;157
2016-02-26;2016-02-26;308;jalil lespert;158
2016-02-26;2016-02-26;328;leonor serraille;159
2016-02-26;2016-02-26;359;ludovic bernard;160
2016-02-29;2016-02-29;41;julien zidi;161
2016-02-29;2016-02-29;189;novemie lvovsky;162
2016-02-29;2016-02-29;205;etienne comar;163
2016-02-29;2016-02-29;273;guillaume canet;164
2016-02-29;2016-02-29;308;jalil lespert;165
2016-02-29;2016-02-29;625;antonio negret;166
2016-02-29;2016-03-01;585;nicolas bedos;167
2016-03-01;2016-03-01;36;thibaud martin;168
2016-03-01;2016-03-01;41;julien zidi;169
2016-03-01;2016-03-01;205;etienne comar;170
2016-03-01;2016-03-01;273;guillaume canet;171
2016-03-01;2016-03-01;308;jalil lespert;172
2016-03-01;2016-03-01;585;nicolas bedos;173
2016-03-01;2016-03-01;625;antonio negret;174
2016-03-01;2016-03-03;308;jalil lespert;175
2016-03-01;2016-03-04;189;novemie lvovsky;176
2016-03-01;2016-03-05;189;novemie lvovsky;177
2016-03-02;2016-03-02;189;novemie lvovsky;178
2016-03-02;2016-03-02;205;etienne comar;179
2016-03-02;2016-03-02;273;guillaume canet;180
2016-03-02;2016-03-02;347;yuki saito;181
2016-03-02;2016-03-02;359;ludovic bernard;182
